,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,calendar_last_scraped,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,host_neighbourhood,license,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_listings_count,minimum_maximum_nights,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_value,instant_bookable
956,95%,f,1,2,"['email', 'phone']",t,t,1125,2.0,1125.0,t,29/12/24,9,0,22/07/19,30/09/24,4.81,4.78,4.81,4.75,,,0,0,29/12/24,32,9,1125,1125,2.0,1125.0,,t,Entire home/apt,2,,1 bath,1.0,1,0,,f,1,1,0,0,0.48,1,1125,30/09/24,4.81,4.81,4.75,4.59,f
957,99%,t,13,18,"['email', 'phone']",t,t,30,2.0,30.0,t,29/12/24,9,0,25/04/19,29/08/24,4.87,4.91,4.72,4.94,,,0,0,29/12/24,69,9,30,30,2.0,30.0,,t,Entire home/apt,8,3.0,3 baths,3.0,11,0,,f,11,11,0,0,1.0,13,30,29/08/24,4.87,4.72,4.94,4.75,f
958,,f,1,1,"['email', 'phone', 'work_email']",t,t,1125,30.0,1125.0,t,29/12/24,0,0,18/06/19,26/08/20,5.0,4.97,4.92,4.97,,,0,0,29/12/24,37,0,1125,1125,30.0,1125.0,,t,Entire home/apt,4,,1 bath,2.0,1,0,,f,1,1,0,0,0.55,1,1125,26/08/20,5.0,4.92,4.97,4.89,f
959,33%,f,1,1,"['email', 'phone']",t,t,92,90.0,92.0,t,29/12/24,1,0,01/08/19,26/09/24,5.0,5.0,5.0,5.0,,,0,146,29/12/24,21,1,92,92,90.0,92.0,,t,Entire home/apt,6,2.0,2 baths,3.0,1,0,,f,1,1,0,0,0.32,1,92,26/09/24,5.0,5.0,5.0,4.95,f
960,100%,t,1,1,"['email', 'phone']",t,t,14,2.0,14.0,t,29/12/24,18,0,21/04/19,11/11/24,4.93,4.94,4.93,4.93,,,86,357,29/12/24,135,18,14,14,2.0,14.0,,t,Entire home/apt,4,2.0,2 baths,2.0,1,0,,f,1,1,0,0,1.95,1,14,11/11/24,4.93,4.93,4.93,4.81,f
961,94%,t,2,3,"['email', 'phone']",t,t,1125,2.0,1125.0,t,29/12/24,27,0,21/03/19,07/11/24,4.99,4.98,4.99,5.0,,,70,70,29/12/24,252,27,1125,1125,2.0,1125.0,,t,Private room,1,1.0,1 shared bath,1.0,0,2,,f,2,0,2,0,3.58,2,1125,07/11/24,4.99,4.99,5.0,4.98,f
962,100%,t,1,2,"['email', 'phone', 'work_email']",t,t,1125,2.0,1125.0,t,29/12/24,36,1,30/05/19,01/12/24,4.89,4.94,4.83,4.95,,,72,344,29/12/24,301,36,1125,1125,2.0,1125.0,,t,Entire home/apt,4,,1 bath,1.0,1,0,,f,1,1,0,0,4.42,1,1125,01/12/24,4.89,4.83,4.95,4.86,f
963,100%,t,1,1,"['email', 'phone', 'work_email']",t,t,1125,3.0,1125.0,t,29/12/24,24,1,22/04/19,01/12/24,4.99,4.99,4.95,5.0,,,1,171,29/12/24,153,24,1125,1125,3.0,1125.0,,t,Entire home/apt,10,3.0,3 baths,4.0,1,0,,t,1,1,0,0,2.21,1,1125,01/12/24,4.99,4.95,5.0,4.82,t
964,100%,t,1,1,"['email', 'phone']",t,t,7,2.0,7.0,t,29/12/24,39,1,10/03/19,08/12/24,4.91,4.93,4.89,4.91,,,65,65,29/12/24,184,39,7,7,2.0,7.0,,t,Entire home/apt,4,1.0,1 bath,1.0,1,0,,f,1,1,0,0,2.6,1,7,08/12/24,4.91,4.89,4.91,4.86,f
965,91%,f,1,4,"['phone', 'work_email']",t,t,1125,30.0,1125.0,t,29/12/24,4,0,31/03/19,04/11/24,4.94,4.96,4.9,4.93,,,47,107,29/12/24,72,4,1125,1125,30.0,1125.0,,t,Entire home/apt,2,1.0,1 bath,0.0,1,0,,f,1,1,0,0,1.03,1,1125,04/11/24,4.94,4.9,4.93,4.82,f
966,100%,t,1,1,"['email', 'phone']",t,t,1125,2.0,1125.0,t,29/12/24,43,0,28/03/19,10/11/24,4.95,4.97,4.91,4.96,,,72,279,29/12/24,321,43,1125,1125,2.0,1125.0,,t,Entire home/apt,4,1.0,1 bath,2.0,1,0,,t,1,1,0,0,4.58,1,1125,10/11/24,4.95,4.91,4.96,4.82,t
967,0%,f,1,1,"['email', 'phone']",t,f,1125,2.0,1125.0,t,29/12/24,0,0,03/08/19,21/03/21,4.75,5.0,4.75,5.0,,,84,84,29/12/24,4,0,1125,1125,2.0,1125.0,,t,Entire home/apt,5,1.0,1 bath,2.0,1,0,,f,1,1,0,0,0.06,1,1125,21/03/21,4.75,4.75,5.0,4.75,f
968,96%,t,5,5,"['email', 'phone']",t,t,27,1.0,27.0,t,29/12/24,4,0,19/05/19,20/10/24,4.9,4.83,4.97,4.97,,,88,332,29/12/24,30,4,27,27,1.0,27.0,,t,Entire home/apt,4,1.0,1 bath,1.0,3,1,,t,4,3,1,0,0.44,5,27,20/10/24,4.9,4.97,4.97,4.7,t
969,,f,2,2,"['email', 'phone']",t,f,1125,2.0,1125.0,t,29/12/24,0,0,02/08/21,09/07/23,5.0,5.0,5.0,5.0,,,84,263,29/12/24,7,0,1125,1125,2.0,1125.0,,t,Private room,4,1.0,1 private bath,1.0,0,2,,f,2,0,2,0,0.17,2,1125,09/07/23,5.0,5.0,5.0,4.57,f
970,100%,t,1,1,"['email', 'phone']",t,t,1125,3.4,1125.0,t,29/12/24,22,0,18/03/19,22/10/24,4.99,5.0,5.0,5.0,,,21,123,29/12/24,104,22,1125,1125,3.4,1125.0,,t,Entire home/apt,2,1.0,1 bath,1.0,1,0,,f,1,1,0,0,1.48,1,1125,22/10/24,4.99,5.0,5.0,4.99,f
971,97%,t,30,72,"['email', 'phone', 'work_email']",t,t,1125,2.0,1125.0,t,29/12/24,30,2,18/04/19,08/12/24,4.86,4.88,4.9,4.9,Downtown,,48,48,29/12/24,168,30,1125,1125,2.0,1125.0,,t,Entire home/apt,8,2.0,2 baths,3.0,13,1,,t,14,13,1,0,2.42,30,1125,08/12/24,4.86,4.9,4.9,4.8,t
972,100%,f,1,1,"['email', 'phone']",t,t,7,5.0,7.0,t,29/12/24,3,0,31/03/19,21/06/24,4.96,4.92,4.84,4.88,,,0,0,29/12/24,25,3,7,7,5.0,7.0,,t,Entire home/apt,6,,1.5 baths,2.0,1,0,,f,1,1,0,0,0.36,1,7,21/06/24,4.96,4.84,4.88,4.96,f
973,100%,t,2,2,"['email', 'phone']",t,t,1125,2.0,1125.0,t,29/12/24,18,1,31/03/19,22/12/24,5.0,4.95,5.0,4.95,,,87,87,29/12/24,59,18,1125,1125,2.0,1125.0,,t,Entire home/apt,4,1.0,1 bath,2.0,2,0,,t,2,2,0,0,0.84,2,1125,22/12/24,5.0,5.0,4.95,4.93,t
974,,f,5,5,"['email', 'phone']",t,t,1125,1.0,1125.0,t,29/12/24,0,0,02/06/19,05/09/23,4.86,4.71,5.0,5.0,,,0,0,29/12/24,7,0,1125,1125,1.0,1125.0,,t,Private room,2,,1 private bath,,0,5,,t,5,0,5,0,0.1,5,1125,05/09/23,4.86,5.0,5.0,4.57,t
975,,f,1,1,"['email', 'phone']",t,f,1125,1.0,1125.0,f,29/12/24,0,0,,,,,,,,,0,0,29/12/24,0,0,1125,1125,1.0,1125.0,,f,Private room,2,,1 shared bath,2.0,0,1,,f,1,0,1,0,,1,1125,,,,,,f
976,,f,1,1,"['email', 'phone']",t,t,90,5.0,90.0,t,29/12/24,0,0,02/04/19,04/11/23,4.95,4.94,4.95,4.97,,,0,0,29/12/24,212,0,90,90,5.0,90.0,,t,Entire home/apt,2,,1 bath,,1,0,,f,1,1,0,0,3.03,1,90,04/11/23,4.95,4.95,4.97,4.86,f
977,,f,2,2,"['email', 'phone']",t,f,1125,2.0,1125.0,t,29/12/24,0,0,03/08/20,16/08/22,5.0,5.0,5.0,5.0,,,84,173,29/12/24,7,0,1125,1125,2.0,1125.0,,t,Private room,2,1.0,1 private bath,1.0,0,2,,f,2,0,2,0,0.13,2,1125,16/08/22,5.0,5.0,5.0,5.0,f
978,98%,f,1,2,"['email', 'phone']",t,t,1125,1.4,1125.0,t,29/12/24,23,0,14/09/19,25/09/24,4.58,4.69,4.67,4.47,,,60,246,29/12/24,45,23,1125,1125,1.4,1125.0,,t,Entire home/apt,6,1.0,1 bath,2.0,1,0,,f,1,1,0,0,0.7,1,1125,25/09/24,4.58,4.67,4.47,4.53,f
979,100%,t,1,1,"['email', 'phone']",t,f,365,1.0,365.0,t,29/12/24,26,1,13/07/24,27/12/24,4.88,4.88,5.0,4.92,,,60,199,29/12/24,26,26,365,365,1.0,365.0,,t,Entire home/apt,4,1.0,1 bath,2.0,1,0,,f,1,1,0,0,4.59,1,365,27/12/24,4.88,5.0,4.92,4.81,f
980,98%,t,6,6,"['email', 'phone', 'work_email']",t,t,1125,90.0,1125.0,t,29/12/24,28,0,30/03/19,12/09/24,4.77,4.84,4.7,4.82,,,15,273,29/12/24,214,28,1125,1125,90.0,1125.0,,t,Entire home/apt,4,1.0,1 bath,1.0,6,0,,f,6,6,0,0,3.05,6,1125,12/09/24,4.77,4.7,4.82,4.74,f
981,98%,t,6,6,"['email', 'phone', 'work_email']",t,t,1125,90.0,1125.0,t,29/12/24,9,0,07/04/19,15/07/24,4.74,4.94,4.75,4.9,,,9,284,29/12/24,140,9,1125,1125,90.0,1125.0,,t,Entire home/apt,4,1.0,1 bath,1.0,6,0,,f,6,6,0,0,2.01,6,1125,15/07/24,4.74,4.75,4.9,4.84,f
982,98%,t,6,6,"['email', 'phone', 'work_email']",t,t,1125,90.0,1125.0,t,29/12/24,5,0,13/04/19,13/07/24,4.73,4.86,4.77,4.9,,,3,269,29/12/24,98,5,1125,1125,90.0,1125.0,,t,Entire home/apt,4,2.0,2 baths,1.0,6,0,,t,6,6,0,0,1.41,6,1125,13/07/24,4.73,4.77,4.9,4.72,t
983,,f,5,5,"['email', 'phone']",t,t,1125,1.0,1125.0,t,29/12/24,0,0,20/05/19,03/09/23,4.78,4.67,4.78,4.78,,,0,147,29/12/24,9,0,1125,1125,1.0,1125.0,,t,Private room,2,1.0,1 private bath,1.0,0,5,,t,5,0,5,0,0.13,5,1125,03/09/23,4.78,4.78,4.78,4.44,t
984,96%,f,1,3,"['email', 'phone']",t,t,185,3.0,185.0,t,29/12/24,15,0,21/05/19,12/11/24,4.84,4.8,4.91,4.96,,,85,359,29/12/24,45,15,185,185,3.0,185.0,,t,Entire home/apt,3,1.0,1 bath,1.0,1,0,,t,1,1,0,0,0.66,1,185,12/11/24,4.84,4.91,4.96,4.71,t
985,94%,t,2,2,"['email', 'phone']",t,t,28,2.0,28.0,t,29/12/24,13,4,19/01/20,15/12/24,4.76,4.77,4.89,4.89,,4707,27,27,29/12/24,82,13,28,28,2.0,28.0,,t,Entire home/apt,2,1.5,1.5 baths,1.0,2,0,4707,f,2,2,0,0,1.36,2,28,15/12/24,4.76,4.89,4.89,4.87,f
986,96%,f,9,12,"['email', 'phone']",t,t,1125,1.0,1125.0,t,29/12/24,2,0,20/04/19,28/09/24,4.92,4.96,5.0,4.86,,,90,365,29/12/24,49,2,1125,1125,1.0,1125.0,,t,Entire home/apt,2,1.0,1 bath,1.0,6,1,,f,7,6,1,0,0.71,9,1125,28/09/24,4.92,5.0,4.86,4.9,f
987,100%,f,1,1,['phone'],t,t,1125,31.0,1125.0,t,29/12/24,1,0,02/07/20,31/07/24,4.82,4.82,5.0,5.0,,,90,364,29/12/24,11,1,1125,1125,31.0,1125.0,,t,Entire home/apt,6,1.0,1 bath,1.0,1,0,,f,1,1,0,0,0.2,1,1125,31/07/24,4.82,5.0,5.0,4.64,f
988,0%,f,1,1,['phone'],t,t,1125,4.0,1125.0,t,29/12/24,0,0,11/08/21,08/08/22,5.0,5.0,5.0,5.0,,,87,266,29/12/24,4,0,1125,1125,4.0,1125.0,,t,Entire home/apt,4,2.5,2.5 baths,2.0,1,0,,f,1,1,0,0,0.1,1,1125,08/08/22,5.0,5.0,5.0,4.75,f
989,100%,t,1,1,"['email', 'phone']",t,t,1125,2.0,1125.0,t,29/12/24,76,2,31/03/19,17/12/24,4.96,4.97,4.91,4.99,,,43,101,29/12/24,388,76,1125,1125,2.0,1125.0,,t,Entire home/apt,4,1.0,1 bath,1.0,1,0,,f,1,1,0,0,5.54,1,1125,17/12/24,4.96,4.91,4.99,4.9,f
990,100%,t,1,1,"['email', 'phone']",t,t,1125,1.3,1125.0,t,29/12/24,84,3,07/04/19,22/12/24,4.94,4.94,4.92,4.95,,,67,297,29/12/24,535,84,1125,1125,1.3,1125.0,,t,Entire home/apt,5,1.0,1 bath,2.0,1,0,,f,1,1,0,0,7.66,1,1125,22/12/24,4.94,4.92,4.95,4.77,f
991,86%,f,1,1,"['email', 'phone']",t,t,1125,2.0,1125.0,t,29/12/24,3,1,30/06/19,07/12/24,4.87,4.93,4.78,4.92,,,29,29,29/12/24,103,3,1125,1125,2.0,1125.0,,t,Entire home/apt,5,1.0,1 bath,2.0,1,0,,f,1,1,0,0,1.54,1,1125,07/12/24,4.87,4.78,4.92,4.92,f
992,94%,,9,11,"['email', 'phone']",t,t,1125,1.5,1125.0,t,29/12/24,31,2,21/04/19,23/12/24,4.94,4.9,4.91,4.95,,,18,143,29/12/24,108,31,1125,1125,1.5,1125.0,,t,Entire home/apt,4,1.0,1 bath,2.0,2,2,,f,4,2,2,0,1.56,9,1125,23/12/24,4.94,4.91,4.95,4.83,f
993,100%,t,1,1,"['email', 'phone', 'work_email']",t,t,1125,2.0,1125.0,t,29/12/24,28,0,21/04/19,15/10/24,4.96,4.91,4.9,4.98,,,1,148,29/12/24,182,28,1125,1125,2.0,1125.0,,t,Entire home/apt,5,1.0,1 bath,2.0,1,0,,f,1,1,0,0,2.63,1,1125,15/10/24,4.96,4.9,4.98,4.83,f
994,100%,f,1,1,"['email', 'phone']",t,t,180,90.0,180.0,t,29/12/24,1,0,17/08/19,01/05/24,5.0,5.0,5.0,5.0,,,14,149,29/12/24,9,1,180,180,90.0,180.0,,t,Entire home/apt,1,1.0,1 bath,0.0,1,0,,f,1,1,0,0,0.14,1,180,01/05/24,5.0,5.0,5.0,5.0,f
995,,f,1,1,"['email', 'phone']",t,t,1125,1.0,1125.0,t,29/12/24,0,0,15/04/19,15/06/19,5.0,5.0,4.88,5.0,,,0,0,29/12/24,8,0,1125,1125,1.0,1125.0,,t,Entire home/apt,2,,1 bath,1.0,1,0,,f,1,1,0,0,0.12,1,1125,15/06/19,5.0,4.88,5.0,4.88,f
996,100%,t,1,1,"['email', 'phone']",t,t,1125,30.0,1125.0,t,29/12/24,6,1,01/05/19,03/12/24,4.98,4.99,4.99,4.98,,,30,235,29/12/24,128,6,1125,1125,30.0,1125.0,,t,Entire home/apt,2,1.0,1 bath,1.0,1,0,,f,1,1,0,0,1.86,1,1125,03/12/24,4.98,4.99,4.98,4.95,f
997,83%,f,1,1,"['email', 'phone']",t,t,1125,2.0,1125.0,t,29/12/24,2,0,08/07/19,11/08/24,4.93,4.91,4.98,5.0,,,0,0,29/12/24,43,2,1125,1125,2.0,1125.0,,t,Entire home/apt,4,,1 bath,2.0,1,0,,f,1,1,0,0,0.64,1,1125,11/08/24,4.93,4.98,5.0,4.65,f
998,0%,f,1,1,"['email', 'phone']",t,t,1125,1.0,1125.0,t,29/12/24,0,0,20/05/19,15/06/19,4.8,5.0,4.6,4.8,,,88,177,29/12/24,5,0,1125,1125,1.0,1125.0,,t,Private room,1,1.0,1 shared bath,1.0,0,1,,f,1,0,1,0,0.07,1,1125,15/06/19,4.8,4.6,4.8,5.0,f
999,,f,1,1,"['email', 'phone']",t,f,1125,2.0,1125.0,t,29/12/24,43,0,16/06/19,21/11/24,4.76,4.8,4.57,4.93,,,58,115,29/12/24,337,43,1125,1125,2.0,1125.0,,t,Entire home/apt,2,1.0,1 bath,1.0,1,0,,f,1,1,0,0,5.0,1,1125,21/11/24,4.76,4.57,4.93,4.76,f
1000,99%,t,3,6,"['email', 'phone']",t,t,1125,2.0,1125.0,t,29/12/24,14,0,20/04/19,22/09/24,4.79,4.72,4.71,4.94,,,90,357,29/12/24,115,14,1125,1125,2.0,1125.0,,t,Private room,4,1.0,1 private bath,2.0,2,1,,t,3,2,1,0,1.66,3,1125,22/09/24,4.79,4.71,4.94,4.63,t
1001,73%,t,4,6,"['email', 'phone']",t,t,30,30.0,30.0,t,29/12/24,1,0,20/06/19,04/09/24,4.97,4.94,4.83,5.0,,,0,209,29/12/24,35,1,30,30,30.0,30.0,,t,Entire home/apt,4,1.0,1 bath,2.0,2,0,,f,2,2,0,0,0.52,4,30,04/09/24,4.97,4.83,5.0,4.77,f
1002,100%,t,1,3,"['email', 'phone']",t,t,365,30.0,365.0,t,29/12/24,1,0,21/04/19,01/01/24,4.9,4.95,4.94,4.91,,,0,0,29/12/24,279,1,365,365,30.0,365.0,,t,Entire home/apt,4,1.0,1 bath,1.0,1,0,,f,1,1,0,0,4.02,1,365,01/01/24,4.9,4.94,4.91,4.8,f
1003,99%,t,1,1,"['email', 'phone']",t,t,30,2.0,30.0,t,29/12/24,55,2,01/05/19,25/12/24,4.95,4.93,4.95,4.97,,,50,209,29/12/24,261,55,30,30,2.0,30.0,,t,Entire home/apt,6,1.0,1 bath,2.0,1,0,,f,1,1,0,0,3.78,1,30,25/12/24,4.95,4.95,4.97,4.85,f
1004,98%,t,1,1,"['email', 'phone']",t,t,1125,3.0,1125.0,t,29/12/24,23,0,20/05/19,25/11/24,4.94,4.99,4.99,4.95,,,28,83,29/12/24,166,23,1125,1125,3.0,1125.0,,t,Entire home/apt,4,1.0,1 bath,2.0,1,0,,t,1,1,0,0,2.43,1,1125,25/11/24,4.94,4.99,4.95,4.94,t
1005,100%,t,2,3,"['email', 'phone']",t,t,30,1.1,30.0,t,29/12/24,42,1,11/05/19,01/12/24,4.95,4.95,4.98,4.96,,,0,0,29/12/24,168,42,30,30,1.1,30.0,,t,Entire home/apt,2,,1 bath,1.0,2,0,,f,2,2,0,0,2.45,2,30,01/12/24,4.95,4.98,4.96,4.89,f
1006,100%,t,2,3,"['email', 'phone']",t,t,30,1.1,30.0,t,29/12/24,49,0,20/08/23,17/11/24,4.92,4.89,4.95,4.98,,,0,0,29/12/24,64,49,30,30,1.1,30.0,,t,Entire home/apt,3,,1 bath,1.0,2,0,,t,2,2,0,0,3.86,2,30,17/11/24,4.92,4.95,4.98,4.88,t
1007,100%,t,1,4,"['email', 'phone']",t,t,1125,1.0,1125.0,t,29/12/24,82,4,05/05/19,26/12/24,4.93,4.91,4.92,4.97,,,83,334,29/12/24,329,82,1125,1125,1.0,1125.0,,t,Entire home/apt,5,1.0,1 bath,0.0,1,0,,t,1,1,0,0,4.78,1,1125,26/12/24,4.93,4.92,4.97,4.8,t
1008,,f,1,1,"['email', 'phone']",t,f,365,182.0,365.0,t,29/12/24,0,0,,,,,,,,,83,358,29/12/24,0,0,365,365,182.0,365.0,,t,Entire home/apt,2,2.0,2 baths,2.0,1,0,,f,1,1,0,0,,1,365,,,,,,f
1009,100%,t,1,2,"['email', 'phone']",t,t,4,2.0,4.0,t,29/12/24,24,0,20/05/19,13/10/24,4.98,4.98,4.98,4.98,,,28,117,29/12/24,124,24,4,4,2.0,4.0,,t,Entire home/apt,2,1.0,1 bath,1.0,1,0,,f,1,1,0,0,1.81,1,4,13/10/24,4.98,4.98,4.98,4.87,f
1010,100%,f,1,2,"['email', 'phone']",t,t,1125,2.0,1125.0,t,29/12/24,46,1,12/05/19,08/12/24,4.83,4.81,4.94,4.91,,,16,55,29/12/24,98,46,1125,1125,2.0,1125.0,,t,Entire home/apt,4,1.0,1 bath,2.0,1,0,,t,1,1,0,0,1.43,1,1125,08/12/24,4.83,4.94,4.91,4.79,t
1011,,f,1,1,"['email', 'phone']",t,f,1125,4.0,1125.0,t,29/12/24,0,0,08/08/23,15/08/23,5.0,5.0,5.0,5.0,,,0,0,29/12/24,2,0,1125,1125,4.0,1125.0,,t,Entire home/apt,4,,2 baths,2.0,1,0,,f,1,1,0,0,0.12,1,1125,15/08/23,5.0,5.0,5.0,5.0,f
1012,93%,t,1,1,"['email', 'phone']",t,t,730,4.0,730.0,t,29/12/24,20,0,13/05/19,09/09/24,4.9,4.94,4.93,4.99,,,63,63,29/12/24,83,20,730,730,4.0,730.0,,t,Entire home/apt,2,1.0,1 bath,1.0,1,0,,f,1,1,0,0,1.21,1,730,09/09/24,4.9,4.93,4.99,4.88,f
1013,0%,f,1,2,"['email', 'phone']",t,t,250,180.0,250.0,t,29/12/24,0,0,03/08/21,26/08/23,5.0,5.0,5.0,5.0,,,0,0,29/12/24,2,0,250,250,180.0,250.0,,t,Entire home/apt,6,,2 baths,4.0,1,0,,f,1,1,0,0,0.05,1,250,26/08/23,5.0,5.0,5.0,5.0,f
1014,,f,4,8,"['email', 'phone']",t,t,1125,1.0,1125.0,t,29/12/24,69,3,14/06/19,22/12/24,4.94,4.92,4.91,4.99,,00019363,6,229,29/12/24,142,69,1125,1125,1.0,1125.0,,t,Entire home/apt,8,1.5,1.5 baths,3.0,1,0,00019363,f,1,1,0,0,2.1,4,1125,22/12/24,4.94,4.91,4.99,4.87,f
1015,100%,t,2,3,"['email', 'phone', 'work_email']",t,t,1125,2.2,1073.6,t,29/12/24,30,0,16/06/19,17/11/24,4.99,4.96,5.0,4.98,,,46,233,29/12/24,104,30,14,1125,2.2,1073.6,,t,Entire home/apt,12,3.0,3 baths,5.0,2,0,,f,2,2,0,0,1.54,2,14,17/11/24,4.99,5.0,4.98,4.88,f
1016,100%,f,2,2,"['email', 'phone']",t,t,1125,1.0,1125.0,t,29/12/24,31,0,05/05/19,02/09/24,4.71,4.8,4.69,4.92,,,0,120,29/12/24,148,31,1125,1125,1.0,1125.0,,t,Private room,2,1.0,1 private bath,1.0,0,2,,f,2,0,2,0,2.15,2,1125,02/09/24,4.71,4.69,4.92,4.71,f
1017,98%,t,55,118,"['email', 'phone', 'work_email']",t,t,1125,89.0,1125.0,t,29/12/24,0,0,01/11/20,10/10/23,4.8,5.0,4.8,5.0,Cadboro Bay,,39,224,29/12/24,5,0,1125,1125,89.0,1125.0,,t,Entire home/apt,2,1.0,1 bath,1.0,53,0,,t,53,53,0,0,0.1,55,1125,10/10/23,4.8,4.8,5.0,4.6,t
1018,96%,t,2,2,"['email', 'phone']",t,t,30,3.0,30.0,t,29/12/24,28,1,16/06/19,01/12/24,4.9,4.86,4.83,4.97,,,57,255,29/12/24,174,28,30,30,3.0,30.0,,t,Entire home/apt,12,3.0,3 baths,5.0,2,0,,f,2,2,0,0,2.58,2,30,01/12/24,4.9,4.83,4.97,4.7,f
1019,90%,t,2,2,"['email', 'phone']",t,t,95,3.0,95.0,t,29/12/24,16,0,26/05/19,20/10/24,4.97,4.97,4.97,4.96,,,87,359,29/12/24,70,16,95,95,3.0,95.0,,t,Entire home/apt,2,1.0,1 bath,1.0,2,0,,f,2,2,0,0,1.03,2,95,20/10/24,4.97,4.97,4.96,4.9,f
1020,100%,f,1,2,['phone'],t,t,360,7.0,360.0,t,29/12/24,0,0,,,,,,,,,0,273,29/12/24,0,0,360,360,7.0,360.0,,t,Entire home/apt,2,1.0,1 bath,1.0,1,0,,f,1,1,0,0,,1,360,,,,,,f
1021,,f,1,1,"['email', 'phone']",t,t,190,30.0,190.0,t,29/12/24,21,0,16/06/19,13/09/24,4.86,4.91,4.85,4.92,,,90,179,29/12/24,119,21,190,190,30.0,190.0,,t,Entire home/apt,2,1.0,1 bath,1.0,1,0,,f,1,1,0,0,1.76,1,190,13/09/24,4.86,4.85,4.92,4.84,f
1022,96%,t,1,3,"['email', 'phone']",t,t,1125,2.0,1125.0,t,29/12/24,47,1,29/12/19,08/12/24,4.88,4.9,4.98,4.94,,37248,80,80,29/12/24,127,47,1125,1125,2.0,1125.0,,t,Entire home/apt,2,1.0,1 bath,1.0,1,0,37248,f,1,1,0,0,2.08,1,1125,08/12/24,4.88,4.98,4.94,4.77,f
1023,81%,t,2,2,"['email', 'phone', 'work_email']",t,t,360,90.0,360.0,t,29/12/24,10,0,09/05/19,13/04/24,4.89,4.91,4.84,4.77,,40896,28,302,29/12/24,281,10,360,360,90.0,360.0,,t,Entire home/apt,6,2.0,2 baths,2.0,2,0,40896,f,2,2,0,0,4.09,2,360,13/04/24,4.89,4.84,4.77,4.77,f
1024,0%,f,4,4,"['email', 'phone']",t,t,60,29.7,60.0,t,29/12/24,0,0,27/06/19,18/08/19,5.0,5.0,4.75,5.0,,,34,308,29/12/24,4,0,60,60,29.7,60.0,,t,Entire home/apt,2,1.0,1 bath,1.0,3,1,,f,4,3,1,0,0.06,4,60,18/08/19,5.0,4.75,5.0,5.0,f
1025,96%,t,2,2,"['email', 'phone']",t,t,28,2.0,28.0,t,29/12/24,19,0,18/06/19,08/09/24,4.85,4.85,4.83,4.95,,,79,332,29/12/24,196,19,28,28,2.0,28.0,,t,Entire home/apt,5,1.0,1 bath,2.0,2,0,,f,2,2,0,0,2.91,2,28,08/09/24,4.85,4.83,4.95,4.68,f
1026,,f,1,1,"['email', 'phone']",t,t,17,3.0,17.0,t,29/12/24,0,0,13/07/19,16/08/22,5.0,5.0,5.0,5.0,,,0,0,29/12/24,5,0,17,17,3.0,17.0,,t,Entire home/apt,6,,2 baths,4.0,1,0,,f,1,1,0,0,0.08,1,17,16/08/22,5.0,5.0,5.0,4.6,f
1027,98%,f,3,5,"['email', 'phone']",t,t,1125,2.0,1125.0,t,29/12/24,9,0,01/07/19,14/09/24,4.92,4.95,4.91,5.0,,,0,203,29/12/24,92,9,1125,1125,2.0,1125.0,,t,Entire home/apt,2,1.0,1 bath,1.0,2,0,,t,2,2,0,0,1.37,3,1125,14/09/24,4.92,4.91,5.0,4.88,t
1028,,f,6,7,"['email', 'phone']",t,t,25,2.0,25.0,t,29/12/24,25,1,22/06/19,29/11/24,4.95,4.93,4.93,4.98,,,75,303,29/12/24,193,25,25,25,2.0,25.0,,t,Entire home/apt,6,1.5,1.5 baths,2.0,5,0,,f,5,5,0,0,2.87,6,25,29/11/24,4.95,4.93,4.98,4.77,f
1029,87%,,27,28,"['email', 'phone']",t,t,1125,1.0,1125.0,t,29/12/24,0,0,02/09/19,23/01/23,4.5,4.83,4.83,5.0,,,0,0,29/12/24,6,0,1125,1125,1.0,1125.0,,t,Private room,1,,1 shared bath,,5,5,,f,10,5,5,0,0.09,27,1125,23/01/23,4.5,4.83,5.0,4.83,f
1030,,f,1,4,"['email', 'phone']",t,f,26,5.0,26.0,t,29/12/24,0,0,13/08/21,02/09/21,5.0,5.0,4.5,5.0,,,83,358,29/12/24,2,0,26,26,5.0,26.0,,t,Entire home/apt,2,1.0,1 bath,1.0,1,0,,f,1,1,0,0,0.05,1,26,02/09/21,5.0,4.5,5.0,5.0,f
