,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,calendar_last_scraped,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,host_neighbourhood,license,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_listings_count,minimum_maximum_nights,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_value,instant_bookable
15,92%,f,24,26,"['email', 'phone']",t,t,1125,90.0,1125.0,t,29/12/24,0,0,14/06/15,30/06/23,4.59,4.73,4.27,4.86,Rockland,,0,90,29/12/24,22,0,1125,1125,90.0,1125.0,,t,Entire home/apt,5,1.0,1 bath,1.0,17,0,,f,17,17,0,0,0.19,24,1125,30/06/23,4.59,4.27,4.86,4.59,f
16,92%,f,24,26,"['email', 'phone']",t,t,1028,90.0,1028.0,t,29/12/24,0,0,13/05/12,31/10/22,4.52,4.57,4.6,4.9,Rockland,,0,185,29/12/24,30,0,1028,1028,90.0,1028.0,,t,Entire home/apt,4,1.0,1 bath,0.0,17,0,,f,17,17,0,0,0.2,24,1028,31/10/22,4.52,4.6,4.9,4.53,f
17,100%,f,1,1,"['email', 'phone']",t,t,1125,98.0,408.8,t,29/12/24,2,0,31/08/14,26/05/24,5.0,5.0,4.79,4.96,,,0,179,29/12/24,24,2,180,1125,98.0,408.8,,t,Entire home/apt,5,1.5,1.5 baths,3.0,1,0,,f,1,1,0,0,0.19,1,180,26/05/24,5.0,4.79,4.96,4.92,f
18,92%,f,24,26,"['email', 'phone']",t,t,1124,90.0,1124.0,t,29/12/24,0,0,26/06/12,31/07/23,4.5,4.7,4.78,4.78,Rockland,,90,365,29/12/24,27,0,1124,1124,90.0,1124.0,,t,Entire home/apt,2,1.0,1 bath,0.0,17,0,,f,17,17,0,0,0.18,24,1124,31/07/23,4.5,4.78,4.78,4.41,f
19,92%,f,24,26,"['email', 'phone']",t,t,1124,90.0,1124.0,t,29/12/24,1,0,24/06/12,31/01/24,4.41,4.35,4.61,4.74,Rockland,,0,272,29/12/24,23,1,1124,1124,90.0,1124.0,,t,Entire home/apt,4,1.0,1 bath,1.0,17,0,,f,17,17,0,0,0.15,24,1124,31/01/24,4.41,4.61,4.74,4.41,f
20,92%,f,24,26,"['email', 'phone']",t,t,1124,90.0,1124.0,t,29/12/24,0,0,28/05/12,22/08/23,4.5,4.67,4.71,4.88,Rockland,,1,274,29/12/24,24,0,1124,1124,90.0,1124.0,,t,Entire home/apt,5,1.0,1 bath,2.0,17,0,,f,17,17,0,0,0.16,24,1124,22/08/23,4.5,4.71,4.88,4.25,f
21,71%,f,2,3,"['email', 'phone']",t,t,365,30.0,365.0,t,29/12/24,3,0,13/07/12,05/11/24,4.89,4.87,4.98,4.95,,,89,364,29/12/24,95,3,365,365,30.0,365.0,,t,Private room,2,1.0,1 private bath,1.0,0,2,,f,2,0,2,0,0.63,2,365,05/11/24,4.89,4.98,4.95,4.84,f
22,92%,f,24,26,"['email', 'phone']",t,t,1124,90.0,1124.0,t,29/12/24,1,1,12/08/12,14/12/24,4.41,4.54,4.61,4.79,Rockland,,0,243,29/12/24,28,1,1124,1124,90.0,1124.0,,t,Entire home/apt,4,1.0,1 bath,1.0,17,0,,f,17,17,0,0,0.19,24,1124,14/12/24,4.41,4.61,4.79,4.57,f
23,92%,f,24,26,"['email', 'phone']",t,t,1124,90.0,1124.0,t,29/12/24,0,0,11/08/12,21/07/23,4.48,4.56,4.45,4.87,Rockland,,90,365,29/12/24,34,0,1124,1124,90.0,1124.0,,t,Entire home/apt,6,1.0,1 bath,2.0,17,0,,f,17,17,0,0,0.23,24,1124,21/07/23,4.48,4.45,4.87,4.42,f
24,92%,f,24,26,"['email', 'phone']",t,t,1124,90.0,1124.0,t,29/12/24,2,0,13/07/12,31/08/24,4.65,4.56,4.7,4.7,Rockland,,3,276,29/12/24,27,2,1124,1124,90.0,1124.0,,t,Entire home/apt,2,1.0,1 bath,0.0,17,0,,f,17,17,0,0,0.18,24,1124,31/08/24,4.65,4.7,4.7,4.59,f
25,0%,f,1,2,"['email', 'phone']",t,t,1125,2.0,1125.0,t,29/12/24,0,0,16/09/14,26/08/23,4.84,4.88,4.88,4.78,,,90,365,29/12/24,32,0,1125,1125,2.0,1125.0,,t,Private room,2,1.0,1 private bath,1.0,0,1,,f,1,0,1,0,0.26,1,1125,26/08/23,4.84,4.88,4.78,4.56,f
26,96%,t,1,2,"['email', 'phone']",t,t,120,2.0,120.0,t,29/12/24,38,0,17/06/12,27/10/24,4.88,4.91,4.97,4.99,,,87,179,29/12/24,293,38,120,120,2.0,120.0,,t,Entire home/apt,2,1.0,1 bath,1.0,1,0,,f,1,1,0,0,1.92,1,120,27/10/24,4.88,4.97,4.99,4.93,f
27,92%,f,24,26,"['email', 'phone']",t,t,1124,90.0,1124.0,t,29/12/24,0,0,05/07/12,31/03/23,4.6,4.64,4.64,4.73,Rockland,,28,303,29/12/24,11,0,1124,1124,90.0,1124.0,,t,Entire home/apt,6,1.0,1 bath,2.0,17,0,,f,17,17,0,0,0.07,24,1124,31/03/23,4.6,4.64,4.73,4.36,f
28,80%,t,2,2,"['email', 'phone', 'work_email']",t,t,90,90.0,90.0,t,29/12/24,2,0,08/06/13,25/02/24,4.91,5.0,4.96,4.93,,,83,358,29/12/24,46,2,90,90,90.0,90.0,,t,Entire home/apt,2,1.0,1 bath,1.0,1,0,,f,1,1,0,0,0.33,2,90,25/02/24,4.91,4.96,4.93,4.87,f
29,92%,f,24,26,"['email', 'phone']",t,t,1125,90.0,1125.0,t,29/12/24,0,0,17/08/12,30/11/23,4.64,4.78,4.87,4.74,Rockland,,57,332,29/12/24,23,0,1125,1125,90.0,1125.0,,t,Entire home/apt,3,1.0,1 bath,0.0,17,0,,f,17,17,0,0,0.15,24,1125,30/11/23,4.64,4.87,4.74,4.26,f
